date,close,volume,open,high,low
2015/01/29,220.39,3138451,218.24,221.1585,212.82
2015/01/28,220.31,2978399,227.81,229.4,220
2015/01/27,227.53,2817296,227.2,229.17,223.52
2015/01/26,229.455,2416669,234.49,234.5,228.11
2015/01/23,233.325,2805890,229.2,234.67,228.6
2015/01/22,229.88,3339127,230,230.51,224.9
2015/01/21,228.28,3532140,220.82,228.94,220.06
2015/01/20,220.36,2556123,222.02,223.85,217.01
2015/01/16,220.195,4035051,220,222,216.42
2015/01/15,215.97,2333911,218.48,219.5,215
2015/01/14,216.82,2462764,217.34,219.95,214
2015/01/13,219.6,2875262,223.61,224.5,218
2015/01/12,220.89,3162196,226.1,226.5,220
2015/01/09,226.9,2310752,230.13,232.99,226.8501
2015/01/08,229.21,2639096,227.05,232.14,224.73
2015/01/07,224.35,2272499,222.42,227,221.02
2015/01/06,220.18,3222355,220.89,222.87,216.02
2015/01/05,219.785,2746048,222.88,224.83,218.3501
2015/01/02,223.08,3484934,229.46,230.45,221.49
2014/12/31,227.97,1928674,229.78,231,227.13
2014/12/30,230.01,1546165,228.52,231.2,227.83
2014/12/29,230.21,2209640,233.21,234.8,229
2014/12/26,234.88,1619128,232.03,237.43,231.31
2014/12/24,230.98,944882,233,233.66,230.75
2014/12/23,233.16,1686313,234.45,236.78,233.08
2014/12/22,234.6,1644813,235.47,236.98,233.9
2014/12/19,234.23,3037798,232.56,236.3,230.6
2014/12/18,231.88,2752862,228.69,233.25,228.52
2014/12/17,223.85,3007413,221.21,225.42,218
2014/12/16,219.96,3993001,223.64,226.3447,219
2014/12/15,225.81,2402483,229.99,232.8699,224.8
2014/12/12,229.32,2549815,225.89,233.69,225.161
2014/12/11,229.23,3029499,226.1,233.74,226.05
2014/12/10,225.12,2244635,229.57,229.82,224.1
2014/12/09,229.9,2993348,222.01,231.33,217.5
2014/12/08,227.67,4466240,230.11,231.06,222.6
2014/12/05,232.72,2881147,230.89,232.96,227.9
2014/12/04,230.81,2484772,232.19,234.7,229.93
2014/12/03,231.29,3080998,234.85,235.7176,230.43
2014/12/02,234.74,2567591,237.04,238.74,232.881
2014/12/01,236.61,4185096,242,242,233.6
2014/11/28,245.11,1339854,246.99,247.34,242.95
2014/11/26,246.03,2920695,244.97,248.74,243.288
2014/11/25,244.34,1868840,244.28,245.89,242.07
2014/11/24,243.91,2400393,247.76,247.87,240.81
2014/11/21,245.3,3720985,244.45,245.95,241.71
2014/11/20,238.39,2140257,238.86,241.513,236.1
2014/11/19,240.42,2878057,242,245.41,238.8
2014/11/18,242.75,2875357,244.59,245.65,240.94
2014/11/17,244.15,4374649,249.45,250,238.25
2014/11/14,249.7,3637551,245.62,251.22,244.54
2014/11/13,244.09,3300528,250.16,251.99,242.08
2014/11/12,249.82,2450258,248.58,251.65,246.784
2014/11/11,250.34,3548093,245.44,251,243.01
2014/11/10,247.58,4155280,237.3,247.7,237.2
